District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,Os No.,ofwhichgirlstudent Os No.,Os amt,ofwhichgirlstudent Os Amt
Bishnupur,12,6,58.02,48.17,12,8,47.69,44.57,37,16,130.12,65.54
Chandel,3,2,6.77,2.65,5,2,9.35,2.65,11,7,32.42,15.52
Churachandpur,23,18,56.51,34.49,37,31,63.59,49.13,90,69,237.77,171.44
Imphal East,40,19,144.85,61.37,63,37,135.71,73.78,177,89,865.50,493.44
Imphal West,163,102,1368.22,749.51,363,207,1473.55,856.75,784,387,5376.80,3019.01
Jiribam,0,0,0.00,0.00,0,0,0.00,0.00,1,1,0.48,0.48
Kakching,4,1,3.54,0.69,10,5,10.59,5.37,29,12,75.46,33.74
Kamjong,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
Kangpokpi,2,1,8.76,1.26,8,5,18.58,12.98,20,13,136.26,103.79
Noney,2,1,2.97,1.90,2,1,2.90,1.90,4,3,8.07,7.00
Pherzawl,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00
Senapati,11,6,29.11,19.04,16,7,30.45,14.07,56,32,226.60,106.01
Tamenglong,0,0,0.00,0.00,0,0,0.00,0.00,9,7,20.88,15.77
Tengnoupal,0,0,0.00,0.00,0,0,0.00,0.00,4,1,24.38,15.94
Thoubal,26,7,122.98,31.59,31,14,65.44,30.03,73,27,268.37,110.10
Ukhrul,3,3,6.47,6.47,5,5,5.68,5.68,11,8,26.46,21.70
