district,Bank Name,KCCs for AH and Allied Activities No,Amt,Farm Productio n No,Amt,Dairy No,Amt,Farm Mechanisa tion No,Amt,Poultry No,Amt,fisheries No,Amt,Godown No,Amt,Clinic No,Amt,Other No,Amt,Total IC- Agri OS No,Amt
Bishnupur,,312,6717.17,0,6717.17,21,6717.17,19,6717.17,394,6717.17,518,6717.17,0,6717.17,0,6717.17,1892,6717.17,3156,6717.17
Chandel,,90,109.02,0,109.02,0,109.02,0,109.02,19,109.02,1,109.02,0,109.02,0,109.02,3,109.02,113,109.02
Churachandpur,,391,1298.53,0,1298.53,106,1298.53,10,1298.53,98,1298.53,40,1298.53,0,1298.53,0,1298.53,430,1298.53,1075,1298.53
Imphal East,,451,10101.29,9,10101.29,80,10101.29,83,10101.29,1063,10101.29,108,10101.29,0,10101.29,0,10101.29,2581,10101.29,4375,10101.29
Imphal West,,692,18865.40,12,18865.40,378,18865.40,24,18865.40,1212,18865.40,285,18865.40,0,18865.40,1,18865.40,4048,18865.40,6652,18865.40
Jiribam,,16,60.63,0,60.63,2,60.63,0,60.63,4,60.63,4,60.63,0,60.63,0,60.63,5,60.63,31,60.63
Kakching,,289,2079.02,0,2079.02,10,2079.02,3,2079.02,48,2079.02,304,2079.02,0,2079.02,0,2079.02,202,2079.02,856,2079.02
Kamjong,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,,67,470.66,0,470.66,7,470.66,0,470.66,61,470.66,2,470.66,0,470.66,0,470.66,136,470.66,273,470.66
Noney,,0,88.29,0,88.29,0,88.29,0,88.29,2,88.29,1,88.29,0,88.29,0,88.29,78,88.29,81,88.29
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,45,285.34,0,285.34,11,285.34,28,285.34,10,285.34,5,285.34,0,285.34,0,285.34,43,285.34,142,285.34
Tamenglong,,81,130.12,0,130.12,7,130.12,2,130.12,16,130.12,2,130.12,0,130.12,0,130.12,75,130.12,183,130.12
Tengnoupal,,47,76.97,0,76.97,0,76.97,0,76.97,1,76.97,2,76.97,0,76.97,0,76.97,32,76.97,82,76.97
Thoubal,,309,9270.12,1,9270.12,22,9270.12,34,9270.12,550,9270.12,96,9270.12,0,9270.12,0,9270.12,3072,9270.12,4084,9270.12
Ukhrul,,34,428.57,0,428.57,11,428.57,0,428.57,22,428.57,6,428.57,0,428.57,0,428.57,294,428.57,367,428.57
