District,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Bishnupur,38,126.50,56,125.47,718,1386.95,378,592.49,42.72
Chandel,42,131.44,50,96.15,300,524.36,117,185.37,35.35
Churachandpur,29,228.03,39,239.90,431,1203.02,210,306.26,25.46
Imphal East,56,298.94,60,232.40,825,2755.80,336,733.24,26.61
Imphal West,158,899.92,222,895.69,1745,6699.62,732,2072.37,30.93
Jiribam,1,6.65,1,2.45,11,22.96,7,11.89,51.79
Kakching,24,83.16,31,84.68,243,451.55,118,191.22,42.35
Kamjong,0,0.00,0,0.00,36,65.26,29,55.91,85.67
Kangpokpi,17,146.83,25,164.86,246,741.11,109,248.90,33.58
Noney,5,21.15,5,20.71,34,80.14,14,24.02,29.97
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,57,231.55,69,234.62,596,1522.19,255,413.77,27.18
Tamenglong,5,19.48,7,22.14,178,295.10,106,151.53,51.35
Tengnoupal,8,28.63,10,22.47,86,185.06,51,113.65,61.41
Thoubal,53,219.50,54,199.43,645,1567.63,335,444.14,28.33
Ukhrul,28,124.43,37,135.75,330,548.23,174,233.40,42.57
