District,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Tot Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Tot Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Tot (PS) NPA,TOTAL PSA NPA Pct
Bishnupur,11401,1703,9.71,4565,2049,20.81,2301,1509,10.98,18267,5261,13.37
Chandel,246,143,58.07,650,182,19.85,126,36,2.68,1022,361,16.21
Churachandpur,3893,1121,22.89,2771,915,16.85,661,109,1.99,7325,2145,14.94
Imphal East,10045,1942,12.38,9279,3090,16.42,6489,4876,13.19,25813,9908,14.62
Imphal West,25940,11390,16.66,18909,7871,14.87,6209,2866,4.04,51058,22127,13.99
Jiribam,119,29,7.25,153,69,17.29,109,58,31.40,381,156,15.61
Kakching,3381,1035,20.26,3098,1572,20.14,690,474,11.32,7169,3081,18.88
Kamjong,19,4,21.73,130,32,17.58,0,0,,149,36,18.66
Kangpokpi,1167,435,26.70,1175,361,18.46,143,20,1.92,2485,816,16.14
Noney,641,113,14.41,378,109,20.77,4,0,0.00,1023,222,17.42
Pherzawl,0,0,,0,0,,0,0,,0,0,
Senapati,2307,579,18.83,2188,527,13.62,519,174,2.02,5014,1280,12.22
Tamenglong,293,140,35.01,493,173,19.59,18,2,0.03,804,315,20.71
Tengnoupal,699,171,22.46,1216,434,35.18,47,0,0.00,1962,605,24.41
Thoubal,9866,1209,6.90,6019,2255,21.05,4221,2984,11.33,20106,6448,12.80
Ukhrul,938,316,32.87,1309,380,21.09,213,44,7.97,2460,740,23.38
