District,Bank Name,ATM ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,B/C B/C Total,B/C Fix,B/C Other
Bishnupur,,3,12,0,15,4,19,0,23,442,410,32
Chandel,,6,0,0,6,4,0,0,4,28,27,1
Churachandpur,,23,3,0,26,21,3,0,24,87,42,45
Imphal East,,48,1,10,59,29,3,8,40,541,494,46
Imphal West,,10,5,170,185,14,12,54,80,3190,1015,2174
Jiribam,,1,1,0,2,4,1,0,5,21,13,8
Kakching,,1,18,0,19,1,11,0,12,102,62,40
Kamjong,,1,0,0,1,1,0,0,1,3,3,0
Kangpokpi,,11,0,0,11,15,0,0,15,22,12,9
Noney,,2,0,0,2,7,0,0,7,24,23,1
Pherzawl,,0,0,0,0,0,0,0,0,3,3,0
Senapati,,17,0,0,17,16,2,0,18,26,11,15
Tamenglong,,0,3,0,3,2,4,0,6,43,28,15
Tengnoupal,,2,4,0,6,3,4,0,7,56,19,37
Thoubal,,3,27,0,30,8,13,0,21,842,790,52
Ukhrul,,3,6,0,9,4,6,0,10,43,18,25
