District,Bank Name,Inactive CSP,Rupay Cardactivein PMJDY,First Time Active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Cardissuedin KCC
Bishnupur,BOB,8,23438,17903,185874,4602
Chandel,BOI,1,2671,1667,23753,2
Churachandpur,BOM,12,16315,9662,161410,651
Imphal East,CAN,13,26397,21234,178787,3368
Imphal West,CBI,460,66548,45871,443620,3110
Jiribam,IND,0,58,41,6241,26
Kakching,IOB,0,8215,9322,77224,850
Kamjong,PNB,0,528,528,3769,0
Kangpokpi,PSB,2,6612,8249,55404,516
Noney,SBI,0,2784,2662,8355,74
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,3,6052,4723,73302,183
Tamenglong,Total,1,1588,937,4340,14
Tengnoupal,AXIS,2,3712,3259,22071,17
Thoubal,BAND,19,18676,20745,145462,2234
Ukhrul,HDFC,0,6557,6091,47910,73
