district,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bishnupur,35664,135006,23390,81277,201138,86913,9416,126357
Chandel,4564,21146,2270,6855,33800,5943,301,11720
Churachandpur,35946,154305,13040,35490,230554,39807,4303,75739
Imphal East,44807,201723,34652,123452,290748,130319,14113,182372
Imphal West,106229,456802,56721,286422,681665,175863,31879,424530
Jiribam,7312,35699,1894,11814,46557,2782,3073,22199
Kakching,21486,92072,11214,40257,137788,42207,4780,66523
Kamjong,867,2401,377,3934,4236,1263,63,4864
Kangpokpi,16012,39513,6851,60850,62092,12547,1466,78328
Noney,2968,13500,4074,5196,16478,14562,862,9026
Pherzawl,0,0,0,0,0,0,0,0
Senapati,21153,76592,8332,32000,109390,21744,2564,55717
Tamenglong,6230,35031,1427,31597,53804,4757,3631,41458
Tengnoupal,8690,25266,8165,8461,37159,17037,1606,18757
Thoubal,30607,158233,31076,61166,235070,95194,8941,100714
Ukhrul,22888,89021,7235,21886,128492,20496,4641,49415
