District,Bank Name,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Bishnupur,BOB,287226,211801,209173
Chandel,BOI,34650,25941,21068
Churachandpur,BOM,262956,195140,121068
Imphal East,CAN,430803,308135,256517
Imphal West,CBI,840517,552270,468389
Jiribam,IND,47152,29219,15555
Kakching,IOB,175304,126471,106697
Kamjong,PNB,5453,3614,2254
Kangpokpi,PSB,95381,59469,38858
Noney,SBI,28101,21913,16862
Pherzawl,UCO,8,8,8
Senapati,UNI,123200,72387,47379
Tamenglong,Total,43781,37103,3118
Tengnoupal,AXIS,41197,30979,23532
Thoubal,BAND,318220,208987,175484
Ukhrul,HDFC,119297,90975,50494
