District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri Disb No.
Bishnupur,50,4728.42,0,7,0,512,45,0,0,1384,1998
Chandel,7,28.97,0,0,0,4,0,0,0,3,14
Churachandpur,26,496.32,0,1,0,26,16,0,0,49,118
Imphal East,54,8207.66,0,36,1,1314,53,0,0,1999,3457
Imphal West,95,15796.90,0,157,0,1619,98,0,1,3496,5466
Jiribam,2,27.01,0,2,0,0,1,0,0,3,8
Kakching,61,516.27,0,4,0,7,57,0,0,10,139
Kamjong,0,0.00,0,0,0,0,0,0,0,0,0
Kangpokpi,1,230.70,0,1,0,42,0,0,0,32,76
Noney,0,10.29,0,0,0,2,2,0,0,7,11
Pherzawl,0,0.00,0,0,0,0,0,0,0,0,0
Senapati,0,272.48,0,8,0,6,4,0,0,9,27
Tamenglong,6,29.44,0,0,0,2,0,0,0,12,20
Tengnoupal,1,25.97,0,0,0,0,1,0,0,17,19
Thoubal,53,8655.40,1,16,0,892,22,0,0,2709,3693
Ukhrul,9,173.09,0,3,0,7,5,0,0,17,41
