District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,367,962.80,1106,2520.34,38,155.52,396,1785.74
Chandel,9,70.98,27,122.16,24,247.35,413,976.77
Churachandpur,34,396.20,148,682.28,627,3501.16,6128,26748.52
Imphal East,107,663.17,438,1320.41,114,822.64,1215,6904.49
Imphal West,381,2137.18,1635,5813.67,430,3737.25,11104,29106.44
Jiribam,8,59.34,46,215.01,3,21.25,97,273.46
Kakching,705,3241.15,2886,11056.91,36,242.81,411,1571.44
Kamjong,3,11.69,5,28.81,8,0.09,19,16.09
Kangpokpi,20,53.54,108,511.13,136,721.09,1208,3746.58
Noney,4,33.15,13,62.83,31,244.53,853,1557.71
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,6,56.08,40,143.67,216,1268.15,2044,6445.98
Tamenglong,0,0.00,4,24.89,94,1213.12,1956,10666.97
Tengnoupal,10,63.86,58,269.68,79,404.49,1353,2563.17
Thoubal,73,293.41,338,980.15,34,101.23,234,845.67
Ukhrul,7,54.47,22,129.57,225,1383.83,3049,10359.93
