District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillaryy No.,Ancillaryy Amt,Agri Total O/S No.,Agri Total O/S Amt
Bishnupur,6492,4485.84,4263,8630.24,3,7.79,643,559.09,11401,13682.96
Chandel,200,117.43,39,52.84,0,0.00,7,13.06,246,183.33
Churachandpur,2592,2160.87,1249,1560.03,0,0.00,52,441.36,3893,4162.26
Imphal East,2987,3158.59,5722,11354.78,12,31.22,1324,1940.28,10045,16484.87
Imphal West,14427,16014.32,9935,26614.70,20,339.49,1558,14605.98,25940,57574.49
Jiribam,69,33.47,35,59.80,0,0.00,15,94.40,119,187.67
Kakching,1451,2093.29,1809,3490.12,7,5.02,114,159.84,3381,5748.27
Kamjong,14,14.15,0,0.00,0,0.00,5,26.85,19,41.00
Kangpokpi,893,541.31,190,310.37,0,0.00,84,171.83,1167,1023.51
Noney,208,141.92,421,397.49,0,0.00,12,68.52,641,607.93
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,1936,1287.79,288,615.71,0,0.00,83,169.94,2307,2073.44
Tamenglong,158,110.20,111,84.17,0,0.00,24,30.36,293,224.73
Tengnoupal,205,106.89,476,682.62,0,0.00,18,45.97,699,835.48
Thoubal,4089,3579.31,5166,11455.30,4,7.10,607,1193.42,9866,16235.13
Ukhrul,590,545.33,314,388.18,4,9.97,30,86.14,938,1029.62
