district,Duringthe Quarter Savings Linked No,Duringthe Quarter Savings Linked Amount,Duringthe Quarter Credit Linked No,Duringthe Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bishnupur,368,46.62,66,126.01,677,74.41,219,343.99,599,572.09,207,136.26,23.82
Chandel,384,28.16,0,0.00,384,28.16,0,0.00,2,0.07,2,0.07,100.00
Churachandpur,1504,125.03,50,86.58,1588,137.26,146,274.30,363,390.09,116,51.70,13.25
Imphal East,230,19.61,184,492.90,471,49.05,501,1174.46,974,1293.26,44,29.34,2.27
Imphal West,701,157.32,149,331.71,1480,352.68,459,907.90,1050,1363.88,116,90.37,6.63
Jiribam,75,139.27,5,7.50,79,141.28,5,7.50,21,26.92,1,0.33,1.23
Kakching,252,56.46,78,120.88,403,60.35,114,200.38,380,381.28,104,65.11,17.08
Kamjong,143,16.04,0,0.00,143,16.04,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,246,42.20,10,13.08,313,63.82,27,95.80,57,134.21,5,4.20,3.13
Noney,135,60.41,16,25.36,171,60.96,116,163.86,102,129.45,13,6.46,4.99
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
Senapati,649,228.39,19,23.07,709,328.42,58,153.49,108,315.28,2,0.98,0.31
Tamenglong,160,36.79,2,3.00,221,37.20,5,7.17,18,16.89,6,0.85,5.03
Tengnoupal,206,18.72,60,116.20,213,18.92,98,197.07,164,228.89,16,30.07,13.14
Thoubal,349,91.88,244,476.44,590,84.53,596,1171.98,883,1061.33,179,101.17,9.53
Ukhrul,110,8.89,24,34.50,270,51.33,24,34.50,73,61.40,17,3.48,5.67
