District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount During Quarter,Total O/S KCC No.,Total O/S KCC Amt,Number Of Rupay Card Issued,KCC Card Activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount Disbursed During Quarter,AH Total No. of KCC,AH Outstandingamount,AH Number Of Rupay Card Issued,AH Card Activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount Disbursed During Quarter,Fishery Total No. of KCC,Fishery Outstandingamount,Fishery Number Of Rupay Card Issued,Fishery Card Activated
Bishnupur,66,161.23,5000,3049.28,4343,4325,16,29.01,337,276.70,252,252,19,4.67,197,191.22,158,157
Chandel,14,31.01,133,78.80,2,2,7,3.77,88,68.19,6,6,0,0.00,3,2.72,0,0
Churachandpur,276,999.96,2440,1878.53,1235,853,7,8.50,239,298.49,105,102,3,19.90,44,98.29,17,9
Imphal East,101,386.67,3038,2971.24,2195,1786,35,102.90,751,674.99,549,548,10,16.01,42,53.77,7,8
Imphal West,163,677.35,12709,11056.68,3381,2989,72,115.34,745,658.59,595,587,11,28.92,61,76.42,37,37
Jiribam,1,0.02,69,33.21,23,23,0,0.00,12,10.00,8,8,1,0.00,4,4.25,0,0
Kakching,42,126.92,1051,1080.05,854,824,27,27.05,371,293.76,235,235,42,30.36,229,328.27,125,125
Kamjong,7,14.29,14,14.15,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0
Kangpokpi,32,65.59,915,559.99,660,580,0,0.50,51,34.82,28,28,0,0.00,5,2.02,5,5
Noney,6,9.62,277,222.81,78,78,0,0.00,3,1.93,3,3,0,0.00,0,0.00,0,0
Pherzawl,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0
Senapati,321,612.50,1772,1234.31,706,551,0,0.00,31,15.36,2,2,4,23.50,4,21.94,0,0
Tamenglong,12,10.41,142,109.12,14,14,5,3.95,55,50.22,0,0,2,1.09,9,8.16,0,0
Tengnoupal,9,15.29,180,93.94,18,19,1,0.61,78,53.94,29,32,1,0.00,3,6.63,2,2
Thoubal,53,236.46,3043,2044.21,2286,2237,14,14.69,420,319.45,343,371,4,9.51,85,128.06,45,45
Ukhrul,35,40.61,594,527.28,124,128,1,0.00,58,45.89,43,43,5,11.70,7,12.77,1,1
