district,Bank Name,NRLM O/S No,Amt,NRLM Irregular No,Amt,NRLM NPA No,Amt,NULM O/S No,Amt,NULM NPA No,Amt,PMEGP O/S No,Amt,PMEGP NPA No,Amt,SHG O/S No,Amt,SHG NPA No,Amt,SUI O/S No,Amt,SUI NPA No,Amt
Bishnupur,,227,6.79,3,6.79,12,6.79,20,6.79,0,6.79,718,6.79,378,6.79,599,6.79,207,6.79,4,6.79,1,6.79
Chandel,,2,0.00,0,0.00,2,0.00,0,0.00,0,0.00,300,0.00,117,0.00,2,0.00,2,0.00,0,0.00,0,0.00
Churachandpur,,313,123.46,30,123.46,9,123.46,17,123.46,4,123.46,431,123.46,210,123.46,363,123.46,116,123.46,46,123.46,5,123.46
Imphal East,,916,178.60,6,178.60,22,178.60,10,178.60,3,178.60,825,178.60,336,178.60,974,178.60,44,178.60,45,178.60,17,178.60
Imphal West,,782,654.28,21,654.28,18,654.28,49,654.28,20,654.28,1745,654.28,732,654.28,1050,654.28,116,654.28,104,654.28,41,654.28
Jiribam,,57,0.00,9,0.00,0,0.00,3,0.00,2,0.00,11,0.00,7,0.00,21,0.00,1,0.00,0,0.00,0,0.00
Kakching,,248,0.00,12,0.00,3,0.00,12,0.00,7,0.00,243,0.00,118,0.00,380,0.00,104,0.00,7,0.00,0,0.00
Kamjong,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,36,0.00,29,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,,52,0.00,5,0.00,0,0.00,0,0.00,0,0.00,246,0.00,109,0.00,57,0.00,5,0.00,9,0.00,0,0.00
Noney,,70,0.00,0,0.00,6,0.00,0,0.00,0,0.00,34,0.00,14,0.00,102,0.00,13,0.00,0,0.00,0,0.00
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,76,51.99,16,51.99,0,51.99,4,51.99,1,51.99,596,51.99,255,51.99,108,51.99,2,51.99,43,51.99,6,51.99
Tamenglong,,1,0.00,0,0.00,0,0.00,3,0.00,2,0.00,178,0.00,106,0.00,18,0.00,6,0.00,0,0.00,0,0.00
Tengnoupal,,160,0.00,12,0.00,16,0.00,0,0.00,0,0.00,86,0.00,51,0.00,164,0.00,16,0.00,0,0.00,0,0.00
Thoubal,,727,0.00,45,0.00,94,0.00,83,0.00,4,0.00,645,0.00,335,0.00,883,0.00,179,0.00,17,0.00,0,0.00
Ukhrul,,25,0.00,0,0.00,0,0.00,19,0.00,12,0.00,330,0.00,174,0.00,73,0.00,17,0.00,2,0.00,0,0.00
