district,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Bishnupur,4406,7206.53,125,853.75,0,0.00,34,52.93,4565,8113.21
Chandel,577,721.57,73,92.99,0,0.00,0,0.00,650,814.56
Churachandpur,2476,10855.35,278,876.70,1,54.30,16,30.98,2771,11817.33
Imphal East,8441,20123.06,709,5874.94,19,312.37,110,106.17,9279,26416.54
Imphal West,17248,75975.86,1147,36160.92,63,4519.84,451,874.73,18909,117531.35
Jiribam,145,329.58,8,14.03,0,0.00,0,0.00,153,343.61
Kakching,2900,5055.82,197,561.78,1,3.32,0,0.00,3098,5620.92
Kamjong,126,108.58,4,7.71,0,0.00,0,0.00,130,116.29
Kangpokpi,1149,3300.81,26,182.39,0,0.00,0,0.00,1175,3483.20
Noney,377,583.05,1,5.71,0,0.00,0,0.00,378,588.76
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,2051,6840.74,127,362.99,3,6.38,7,22.65,2188,7232.76
Tamenglong,479,991.08,14,43.38,0,0.00,0,0.00,493,1034.46
Tengnoupal,1073,1411.89,141,85.65,1,0.00,1,1.85,1216,1499.39
Thoubal,5857,11003.72,147,1535.19,1,66.57,14,34.88,6019,12640.36
Ukhrul,1295,2635.38,14,81.59,0,0.00,0,0.00,1309,2716.97
