District,Bank Name,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zoroastrian No.,Jains No.,Tot Minority No.
Bishnupur,,727,4812.24,671,6,35,0,1,1440
Chandel,,3956,19200.09,19,2,0,0,0,3977
Churachandpur,,14853,84936.13,996,22,9,0,0,15880
Imphal East,,2367,20553.82,2385,6,56,0,6,4820
Imphal West,,14382,77958.97,5124,27,162,1,43,19739
Jiribam,,154,917.52,154,1,3,0,0,312
Kakching,,863,4392.09,238,2,61,0,0,1164
Kamjong,,233,793.97,5,0,0,0,1,239
Kangpokpi,,5456,27236.66,206,3,13,0,1,5679
Noney,,1123,2854.68,3,0,1,0,0,1127
Pherzawl,,0,0.00,0,0,0,0,0,0
Senapati,,9034,43034.78,312,14,9,0,0,9369
Tamenglong,,2158,11368.10,14,1,0,0,0,2173
Tengnoupal,,2591,10281.33,225,3,3,0,0,2822
Thoubal,,448,13029.92,4033,4,27,2,2,4516
Ukhrul,,4658,21400.30,32,1,5,1,0,4697
