district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bishnupur,96359,59706,61764,94071,155835,26025.00,2849.34,119477,35613,115192
Chandel,11886,0,5434,6448,11882,804.00,513.5,11051,3176,8887
Churachandpur,99181,3664,47459,55363,102822,13412.00,4605.04,76477,20660,71108
Imphal East,100268,49578,60109,89637,149746,23981.00,3591.95,111337,37865,108711
Imphal West,49713,208203,103949,153655,257604,31091.00,6986.11,202472,78871,198628
Jiribam,18593,0,7877,10656,18533,3752.00,542.86,15425,7607,16232
Kakching,30618,51781,35016,47312,82328,13102.00,1376.87,61557,17212,61157
Kamjong,2229,0,1120,1108,2228,52.00,108.61,2400,448,1410
Kangpokpi,27014,1648,14050,14606,28656,4547.00,1073.95,19016,6528,15017
Noney,11594,0,6079,5483,11562,1918.00,593.57,10333,2675,7698
Pherzawl,0,0,0,0,0,0.00,0,0,0,0
Senapati,37741,0,17415,20296,37711,1908.00,1746.54,40817,9688,23055
Tamenglong,4972,20397,13482,11887,25369,7232.00,592.7,24671,11216,15256
Tengnoupal,10417,6030,7420,9014,16434,2753.00,615.7,17685,5265,12251
Thoubal,84317,73446,66836,91574,158410,24457.00,2748.72,116468,23585,104925
Ukhrul,6072,64835,35898,34999,70897,20601.00,2739.59,55233,17113,36157
