district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disburse d under PMAY No,Current Year Disburse d under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,391,3381.69,496,8726.17,9,202.30,0,0.00,0,0,0,0.00
Chandel,52,679.37,116,1994.55,89,2170.41,0,0.00,0,0,0,0.00
Churachandpur,347,3892.34,1267,22778.51,740,16731.13,1,10.21,0,0,1,10.21
Imphal East,787,5959.54,1179,24143.88,610,13735.39,98,1019.09,0,0,98,1019.09
Imphal West,2249,21647.51,5295,105404.05,217,4899.82,62,654.22,0,0,62,654.22
Jiribam,3,20.06,8,151.34,0,0.00,0,0.00,0,0,0,0.00
Kakching,129,1673.78,412,8081.94,7,174.17,0,0.00,0,0,0,0.00
Kamjong,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
Kangpokpi,90,1261.00,265,4051.19,164,3815.01,0,0.00,0,0,0,0.00
Noney,0,0.00,2,61.28,2,61.28,0,0.00,0,0,0,0.00
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
Senapati,140,1993.61,528,8972.53,378,9861.20,0,0.00,0,0,0,0.00
Tamenglong,8,104.03,8,147.28,0,0.00,0,0.00,0,0,0,0.00
Tengnoupal,39,544.53,77,1408.34,65,1398.17,0,0.00,0,0,0,0.00
Thoubal,531,4802.48,888,14849.46,125,3279.77,17,236.77,0,0,18,252.49
Ukhrul,10,72.08,9,421.42,0,0.00,0,0.00,0,0,0,0.00
