District,Crop Loan No.,Amt,Forestry And Wasteland Dev. No.,Water Resource No.,Farm Mechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillaryy Activities No.,Tot Agri (PS) Disb No.
Bishnupur,2301,8981.80,88,0,888,0,30,39,1577,0,174,5097
Chandel,40,59.43,0,0,7,0,7,0,0,0,3,57
Churachandpur,1176,2115.08,0,0,9,0,8,19,233,0,30,1475
Imphal East,960,12009.04,133,0,1816,0,210,16,1708,8,289,5140
Imphal West,4104,35387.59,206,0,2310,0,162,22,4502,15,573,11894
Jiribam,5,40.02,0,0,0,0,2,2,4,0,0,13
Kakching,675,2849.54,0,0,0,0,41,77,354,0,7,1154
Kamjong,13,32.29,0,0,0,0,0,0,0,0,1,14
Kangpokpi,111,283.92,0,0,0,0,5,0,41,0,22,179
Noney,171,250.94,0,0,0,0,0,0,60,0,4,235
Pherzawl,0,0.00,0,0,0,0,0,0,0,0,0,0
Senapati,940,1167.59,0,0,0,0,0,4,148,0,7,1099
Tamenglong,31,51.19,0,0,0,0,5,2,2,0,0,40
Tengnoupal,81,166.28,0,0,0,0,1,1,49,0,14,146
Thoubal,2047,13202.73,97,0,1304,0,40,12,2729,0,160,6389
Ukhrul,115,196.88,0,0,0,0,5,5,14,3,7,149
