District,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zoroastrians No.,Jains No.,Total Minority Disb No.
Bishnupur,153,1231.54,140,0,6,0,1,300
Chandel,1317,8398.89,6,1,1,0,0,1325
Churachandpur,5414,34782.60,197,4,1,0,0,5616
Imphal East,586,7841.93,594,1,10,2,0,1193
Imphal West,2175,25983.89,1549,10,26,0,24,3784
Jiribam,22,358.18,32,0,1,0,0,55
Kakching,194,1799.35,99,1,15,0,0,309
Kamjong,111,398.96,2,0,0,0,1,114
Kangpokpi,2015,12405.04,16,1,7,0,0,2039
Noney,289,1402.52,0,0,0,0,0,289
Pherzawl,0,0.00,0,0,0,0,0,0
Senapati,3445,16171.33,99,3,0,0,0,3547
Tamenglong,399,4489.33,1,1,0,0,0,401
Tengnoupal,573,3901.40,89,0,0,0,0,662
Thoubal,125,5581.58,1236,1,3,1,0,1366
Ukhrul,1231,9354.62,12,0,2,0,0,1245
