district,Bank Name,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Bishnupur,BOB,10,4.00,110,106.61
Chandel,BOI,0,0.00,1,0.85
Churachandpur,BOM,0,0.00,27,94.27
Imphal East,CAN,0,0.00,1234,732.13
Imphal West,CBI,51,50.03,639,413.47
Jiribam,IND,0,0.00,0,0.00
Kakching,IOB,0,0.00,17,34.12
Kamjong,PNB,0,0.00,0,0.00
Kangpokpi,PSB,0,0.00,9,8.56
Noney,SBI,0,0.00,0,0.00
Pherzawl,UCO,0,0.00,0,0.00
Senapati,UNI,3,30.00,35,87.95
Tamenglong,Total,0,0.00,0,0.00
Tengnoupal,AXIS,0,0.00,0,0.00
Thoubal,BAND,0,0.00,565,429.55
Ukhrul,HDFC,2,0.63,13,22.53
