District,Micro Tl No.,Amt,Micro Wc No.,Small Tl No.,Small Wc No.,Medium Tl No.,Medium Wc No.,KVIC No.,Others Under MSMEs No.,Clf No.,Total Msme (PS) Disb No.
Bishnupur,657,3474.39,217,7,4,1,0,0,1,0,887
Chandel,198,252.29,46,0,0,0,0,0,0,0,244
Churachandpur,716,6822.87,252,15,13,0,0,8,1,0,1005
Imphal East,1063,12540.41,698,21,34,1,1,5,2,0,1825
Imphal West,2925,75149.69,1064,148,202,8,8,95,6,0,4404
Jiribam,36,243.06,17,2,1,0,0,0,0,0,56
Kakching,388,3485.08,247,6,3,1,0,0,0,0,645
Kamjong,58,32.53,19,0,0,0,0,0,0,0,77
Kangpokpi,245,1433.14,87,4,2,0,0,0,0,0,313
Noney,35,214.30,41,3,2,0,0,0,0,0,81
Pherzawl,0,0.00,0,0,0,0,0,0,0,0,0
Senapati,676,2964.73,199,21,6,3,0,1,5,0,911
Tamenglong,58,446.76,34,12,7,0,0,0,0,0,111
Tengnoupal,68,220.02,99,0,0,0,0,1,1,0,169
Thoubal,611,4223.39,482,17,17,0,0,0,0,0,1068
Ukhrul,293,1214.89,87,2,0,0,0,3,0,0,385
