lgd,state,district,rwi_mean,rwi_spread,nl_2023,nl_2012,elev_mean,elev_range,nfhs4_ins,nfhs5_ins,irrig_pct,rbi_total,rbi_bc,rbi_branch,rbi_rural,cap_total,nrlm_shg,pmgsy_roads,cdr_latest,deposit_latest,advance_latest,pmjdy_total,pmjdy_zerobal,pmjdy_rural,pmjdy_rupay,pmjdy_female,kcc_total,digi_cov_pct
1,Jammu and Kashmir,Anantnag,0.073,2.31,0.4684,0.1991,2655.7,3695.0,2.6,7.3,62.7,1159.0,878.0,115.0,690.0,179.0,6987.0,74.0,79.44,908358.27,721624.0,,,,,,,
2,Jammu and Kashmir,Budgam,0.229,2.692,1.4872,0.5685,2354.7,3015.0,,,59.3,,,,,,5492.0,35.0,105.19,528712.0,556143.58,,,,,,,
3,Jammu and Kashmir,Baramulla,0.09,2.221,0.5691,0.2883,2230.2,3504.0,,,48.5,977.0,641.0,151.0,689.0,,7450.0,49.0,96.56,836281.3,807531.0,,,,,,,
4,Jammu and Kashmir,Doda,-0.194,2.395,0.2761,0.147,2379.9,4082.0,2.9,7.6,9.3,555.0,437.0,54.0,433.0,9.0,4437.0,64.0,78.11,349975.0,273371.0,,,,,,,
5,Jammu and Kashmir,Jammu,0.106,2.413,3.0827,2.2972,364.8,966.0,11.9,23.3,55.0,2719.0,1498.0,444.0,936.0,350.0,7209.0,105.0,41.64,7280202.4,3031286.0,,,,,,,
6,Ladakh,Kargil,-0.328,1.76,0.0379,0.0036,4541.0,4606.0,1.9,13.6,,149.0,66.0,35.0,95.0,35.0,957.0,21.0,43.05,388232.0,167120.0,,,,,,,
7,Jammu and Kashmir,Kathua,-0.19,2.17,0.9505,0.7465,1009.5,3814.0,5.1,7.0,30.2,893.0,637.0,113.0,645.0,50.0,5914.0,50.0,53.18,1157194.78,615367.49,,,,,,,
8,Jammu and Kashmir,Kupwara,0.035,2.26,0.2617,0.124,2355.7,3223.0,2.3,10.4,49.8,769.0,604.0,77.0,530.0,8.0,7453.0,62.0,131.32,389310.0,511233.0,,,,,,,
9,Ladakh,Leh Ladakh,-0.22,2.235,0.0191,0.0013,5079.4,4952.0,2.6,16.2,,273.0,71.0,66.0,148.0,,,12.0,46.11,748201.0,345011.0,,,,,,,
10,Jammu and Kashmir,Poonch,-0.136,1.952,0.7901,0.4211,1960.1,4153.0,,,13.4,565.0,442.0,50.0,479.0,,4214.0,41.0,54.96,431414.0,237112.0,,,,,,,
11,Jammu and Kashmir,Pulwama,0.263,2.386,1.0604,0.4847,2074.4,2818.0,1.3,9.9,53.5,782.0,594.0,86.0,515.0,46.0,4156.0,67.0,113.44,539710.0,612240.0,,,,,,,
12,Jammu and Kashmir,Rajouri,-0.169,2.269,0.7379,0.3736,1126.7,4313.0,4.2,16.4,10.4,805.0,601.0,87.0,604.0,,,116.0,56.62,743123.71,420791.0,,,,,,,
13,Jammu and Kashmir,Srinagar,0.891,2.663,7.2343,3.9749,1707.6,1850.0,2.4,17.9,60.7,1086.0,351.0,232.0,107.0,116.0,426.0,3.0,68.18,3925829.81,2676589.0,,,,,,,
14,Jammu and Kashmir,Udhampur,-0.186,2.281,0.6835,0.5024,1422.7,3803.0,5.2,16.8,10.3,581.0,373.0,84.0,379.0,51.0,5405.0,98.0,54.67,810012.04,442871.2,,,,,,,
15,Himachal Pradesh,Bilaspur,0.02,2.167,0.7107,0.4091,706.8,1618.0,18.4,35.4,10.8,745.0,575.0,94.0,652.0,42.0,2155.0,1.0,28.621375501357587,1016604.74,290966.26,94073.0,13312.0,83576.0,55532.0,49990.0,31044.0,
16,Himachal Pradesh,Chamba,-0.198,2.332,0.0893,0.0532,3015.7,5906.0,36.7,26.8,10.4,934.0,758.0,98.0,789.0,23.0,2531.0,,34.749184383252654,779223.21,270773.71,188590.0,11384.0,172808.0,117590.0,101459.0,33770.0,
17,Himachal Pradesh,Hamirpur,0.067,2.458,0.3553,0.1712,759.6,819.0,12.8,32.0,5.3,894.0,613.0,136.0,764.0,92.0,2655.0,,23.390313174698967,1749456.14,409203.27,107748.0,10352.0,97948.0,74966.0,60561.0,39215.0,
18,Himachal Pradesh,Kangra,0.02,2.871,0.3357,0.1451,1436.4,5759.0,25.6,36.4,29.2,2426.0,1695.0,332.0,2282.0,216.0,7973.0,3.0,25.970456221599843,4935214.38,1281697.69,378307.0,35615.0,366394.0,249350.0,223366.0,91273.0,
19,Himachal Pradesh,Kinnaur,-0.147,2.34,0.0488,0.0374,4347.4,5526.0,26.2,35.9,29.0,154.0,89.0,35.0,154.0,8.0,740.0,1.0,46.21436488364747,227035.88,104923.19,16887.0,2382.0,16887.0,13186.0,8211.0,12941.0,
