lgd,state,district,cdr_latest,resid
1,Jammu and Kashmir,Anantnag,79.44,1.4843830903439539
2,Jammu and Kashmir,Budgam,105.19,33.35900037518289
3,Jammu and Kashmir,Baramulla,96.56,17.04730690961226
4,Jammu and Kashmir,Doda,78.11,13.23953109009203
5,Jammu and Kashmir,Jammu,41.64,-29.276958877314428
7,Jammu and Kashmir,Kathua,53.18,-16.047556369180874
8,Jammu and Kashmir,Kupwara,131.32,48.80969214430789
10,Jammu and Kashmir,Poonch,54.96,-7.1337648018033235
11,Jammu and Kashmir,Pulwama,113.44,31.484096748438233
12,Jammu and Kashmir,Rajouri,56.62,-13.516576264316036
13,Jammu and Kashmir,Srinagar,68.18,-6.25585146991105
14,Jammu and Kashmir,Udhampur,54.67,-12.351428193114558
15,Himachal Pradesh,Bilaspur,28.621375501357587,-56.35881344716368
16,Himachal Pradesh,Chamba,34.749184383252654,-28.16111240320032
17,Himachal Pradesh,Hamirpur,23.390313174698967,-70.19038771349983
18,Himachal Pradesh,Kangra,25.970456221599843,-61.357039675826144
19,Himachal Pradesh,Kinnaur,46.21436488364747,-8.304882009313289
20,Himachal Pradesh,Kullu,45.70360722735291,-19.113076367436612
21,Himachal Pradesh,Lahul and Spiti,25.572277480318437,-29.47805829288343
22,Himachal Pradesh,Mandi,30.974482365262883,-52.2597373800633
23,Himachal Pradesh,Shimla,46.884710361203496,-26.516627624203103
24,Himachal Pradesh,Sirmaur,76.68878259136046,-8.82485613368685
25,Himachal Pradesh,Solan,83.5490203743714,7.844718515401894
26,Himachal Pradesh,Una,31.027866829299523,-55.498239895508235
45,Uttarakhand,Almora,27.0,-56.64328286761547
46,Uttarakhand,Bageshwar,24.0,-49.34633876138406
47,Uttarakhand,Chamoli,28.0,-27.321760120842526
48,Uttarakhand,Champawat,35.0,-47.621567947171044
49,Uttarakhand,Dehradun,39.0,-29.425366750622544
50,Uttarakhand,Haridwar,60.0,-19.121134713885468
51,Uttarakhand,Nainital,56.0,-23.580735232874417
52,Uttarakhand,Pauri Garhwal,27.0,-55.19199898171985
53,Uttarakhand,Pithoragarh,33.0,-25.56749494688519
54,Uttarakhand,Rudra Prayag,28.0,-40.35617544820086
55,Uttarakhand,Tehri Garhwal,34.0,-39.704760458004884
56,Uttarakhand,Udam Singh Nagar,100.0,20.193853923247346
57,Uttarakhand,Uttar Kashi,50.0,-5.991638509451043
58,Haryana,Ambala,72.64,-19.41153309106616
59,Haryana,Bhiwani,98.57,7.918944666341247
60,Haryana,Faridabad,69.06,-6.758283680612976
61,Haryana,Fatehabad,120.63,15.652437139729074
62,Haryana,Gurugram,87.59,20.00393626877596
63,Haryana,Hisar,112.37,20.95308304845676
64,Haryana,Jhajjar,99.78,6.333596918337264
65,Haryana,Jind,98.36,-2.4838612538982687
66,Haryana,Kaithal,121.77,15.957848493861306
67,Haryana,Karnal,127.2,30.616248759347982
68,Haryana,Kurukshetra,84.22,-19.733367070739064
69,Haryana,Mahendragarh,74.67,-18.405708335833538
70,Haryana,Panchkula,73.87,3.7421943284923884
71,Haryana,Panipat,160.12,77.4129242083069
72,Haryana,Rewari,59.24,-33.91389233112165
73,Haryana,Rohtak,76.74,-14.9299034093997
74,Haryana,Sirsa,114.22,15.409018862342279
75,Haryana,Sonipat,82.52,-6.901917769879134
76,Haryana,Yamunanagar,96.31,-2.230728347956088
80,Delhi,North,48.0,-2.68622757502974
81,Delhi,North East,54.31,-7.519707277690323
82,Delhi,North West,50.03,-13.604289283161577
83,Delhi,South,26.39,-32.31860727611008
84,Delhi,South West,31.31,-28.16789177309268
85,Delhi,West,45.13,-14.068541933182743
86,Rajasthan,Ajmer,74.62,-1.667538146119952
87,Rajasthan,Alwar,86.04,3.822743333060785
88,Rajasthan,Banswara,86.43,-2.809665355924267
89,Rajasthan,Baran,107.58,25.463523632447163
90,Rajasthan,Barmer,339.77,258.54628736309047
91,Rajasthan,Bharatpur,71.09,-6.606541712871305
92,Rajasthan,Bhilwara,154.3,73.99711757819647
93,Rajasthan,Bikaner,109.23,29.2236765578738
94,Rajasthan,Bundi,107.38,24.670083948793803
95,Rajasthan,Chittorgarh,105.92,30.346762363848143
96,Rajasthan,Churu,107.95,27.97349838122689
97,Rajasthan,Dausa,84.16,1.5823843063115248
98,Rajasthan,Dholpur,93.86,7.749413807493298
99,Rajasthan,Dungarpur,62.09,-25.52993054650301
100,Rajasthan,Ganganagar,144.32,43.88478318191797
101,Rajasthan,Hanumangarh,186.19,93.10058327721467
102,Rajasthan,Jaipur,101.55,24.72933805725438
103,Rajasthan,Jaisalmer,145.68,60.396744766203255
104,Rajasthan,Jalore,87.82,-10.575862833387333
105,Rajasthan,Jhalawar,130.08,51.594575120988765
106,Rajasthan,Jhunjhunu,81.82,-4.852342525147122
107,Rajasthan,Jodhpur,84.98,4.649260409018524
108,Rajasthan,Karauli,117.18,34.882114635473755
109,Rajasthan,Kota,77.48,1.836790783402023
