lgd,quarter,state,district,deposit,advance,cdr
554,2010-10,kerala,Alappuzha,1016708.02,591099.0,58.14
555,2010-10,kerala,Ernakulam,3159124.0,3147829.0,99.64
556,2010-10,kerala,Idukki,166618.0,212418.0,127.49
557,2010-10,kerala,Kannur,922936.0,587398.0,63.64
558,2010-10,kerala,Kasaragod,365996.0,337431.0,92.2
559,2010-10,kerala,Kollam,958714.56,596481.91,62.22
560,2010-10,kerala,Kottayam,1219434.94,732180.84,60.04
562,2010-10,kerala,Malappuram,816947.0,534753.0,65.46
563,2010-10,kerala,Palakkad,1101480.24,810809.01,73.61
564,2010-10,kerala,Pathanamthitta,1390998.53,558867.1,40.18
565,2010-10,kerala,Thiruvananthapuram,2733231.0,1726935.0,63.18
566,2010-10,kerala,Thrissur,2129115.0,1321900.0,62.09
567,2010-10,kerala,Wayanad,135229.0,163332.0,120.78
554,2010-12,kerala,Alappuzha,1062615.0,653525.0,61.5
555,2010-12,kerala,Ernakulam,3301099.0,3590422.0,108.76
556,2010-12,kerala,Idukki,232875.36,361716.5,155.33
557,2010-12,kerala,Kannur,940019.0,675563.0,71.87
558,2010-12,kerala,Kasaragod,255097.0,220981.0,86.63
559,2010-12,kerala,Kollam,1007064.76,633782.9,62.93
560,2010-12,kerala,Kottayam,1413219.74,866502.24,61.31
562,2010-12,kerala,Malappuram,814701.0,646632.0,79.37
563,2010-12,kerala,Palakkad,1165739.27,905924.1,77.71
564,2010-12,kerala,Pathanamthitta,1433437.84,602597.26,42.04
565,2010-12,kerala,Thiruvananthapuram,2889130.0,2028681.0,70.22
566,2010-12,kerala,Thrissur,2178667.0,1417230.0,65.05
567,2010-12,kerala,Wayanad,145746.0,189238.0,129.84
554,2011-03,kerala,Alappuzha,1104211.0,689876.0,62.48
555,2011-03,kerala,Ernakulam,3399354.0,3862156.0,113.61
556,2011-03,kerala,Idukki,261815.0,344001.0,131.39
557,2011-03,kerala,Kannur,866744.0,708539.0,81.75
558,2011-03,kerala,Kasaragod,385712.0,363510.0,94.24
559,2011-03,kerala,Kollam,1055240.0,678244.0,64.27
560,2011-03,kerala,Kottayam,1509416.0,923920.0,61.21
