District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,16.93,1,0,0,0,0,100.48,10,368.51,13,621.4,96
East Jaintia Hills,5.37,2,0,0,5.37,2,1154.63,79,613.18,10,654.8,78
East Khasi Hills,4081.33,222,25,1,177.74,25,6614.29,477,39064.68,1282,32617.61,3543
North Garo Hills,26.78,1,0,0,0,0,475.23,48,93.95,5,783.3,151
Ri Bhoi,1433.96,81,0,0,37.43,8,19433.18,1096,12101.61,404,9794.23,901
South Garo Hills,0,0,0,0,0,0,28.62,3,212.61,8,534.17,74
South West Garo Hills,0,0,0,0,0,0,629.75,38,303.37,8,472.76,52
South West Khasi Hills,0,0,0,0,0,0,411.96,36,194.41,7,305.23,38
West Garo Hills,275.06,31,0,0,0,0,1361.22,164,4658.09,161,5901.76,691
West Jaintia Hills,137.64,12,0,0,15.05,7,730.98,63,1443.48,55,3801.14,426
West Khasi Hills,375.8,39,0,0,38.21,11,125.07,24,356.22,15,1291.28,176
