District,ST Outstanding Amt,ST Outstanding No.,ST Disbursement Amt,ST Disbursement No.,SC Outstanding Amt,SC Outstanding No.,SC Disbursement Amt,SC Disbursement No.
East Garo Hills,5480.16,3513,212.86,90,202.98,53,49.08,9
East Jaintia Hills,10065.59,4418,665.84,660,139.09,39,41,5
East Khasi Hills,232052.07,58356,11019.88,4477,7452.04,3219,1099.68,265
Eastern West Khasi Hills,8118.44,7844,684.41,649,35.28,9,0,0
North Garo Hills,6987.17,5818,425.96,383,407.02,110,58.46,16
Ri Bhoi,36543.13,25144,3466.7,1441,7777.48,2037,1064.88,180
South Garo Hills,4511.23,3329,176.61,134,19.94,20,0.08,2
South West Garo Hills,10453.91,7174,802,296,468.84,182,64.66,20
South West Khasi Hills,4324.59,3437,225.98,277,54.78,26,0,0
West Garo Hills,26462.04,15412,2471.28,929,1946.23,567,200.57,82
West Jaintia Hills,36709.51,11227,2084.08,1049,2871.15,951,220.4,77
West Khasi Hills,10823.61,6970,689.62,671,76.41,8,0,0
