district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
East Garo Hills,4290,7134.74,398,734.42
East Jaintia Hills,2079,5411.08,255,671.28
East Khasi Hills,59789,151668.93,6528,18235.77
Eastern West Khasi Hills,5870,5624.65,541,547.6
North Garo Hills,2893,5049.71,299,456.33
Ri Bhoi,25906,36366.97,1783,3815.37
South Garo Hills,1130,3480.61,166,804.47
South West Garo Hills,3645,5109.29,348,484.06
South West Khasi Hills,2102,3167.98,180,344.05
West Garo Hills,14868,31743.29,1477,3039.54
West Jaintia Hills,8366,16352.4,900,1734.08
West Khasi Hills,5015,6964.74,463,722.95
