district,Amt. NRLM % NPA,NRLM Amt. NPA,NPA NRLM No.,A/C NRLM Amt. Irregular,NRLM A/C No. Irregular,NRLM Amt. O/S,No. NRLM O/S,Help Year Amount Self- Current Group,Group Current No. Self-Help Year
East Garo Hills,9.54,22.5,64,5.88,22,235.93,404,19.38,21
East Jaintia Hills,0.22,1.01,1,1.01,1,454.22,497,72.01,59
East Khasi Hills,1.34,11.4,10,12.03,11,851.92,1016,235.41,248
Eastern West Khasi Hills,1.06,10.3,13,12.85,12,969.97,788,84.53,52
North Garo Hills,20.86,35.28,107,0.05,6,169.09,344,26.97,32
Ri Bhoi,5.82,61.76,65,59.98,59,1061.35,1193,71.52,48
South Garo Hills,2.17,4.5,29,17.92,40,207.51,268,21,21
South West Garo Hills,4.06,14.53,23,14.15,23,357.56,414,17.52,15
South West Khasi Hills,0.02,0.1,1,0.13,3,487.13,381,35.99,19
West Garo Hills,4.7,49.29,110,30.68,48,1048.92,1297,163.6,137
West Jaintia Hills,3.15,30.43,30,27.84,26,966.82,1046,74.43,75
West Khasi Hills,0.71,4.83,9,4.83,9,678.63,647,108,66
