district,Number of operative CASA,Number of Aadhaar seed- ed CASA,Number of Authenticated CASA
East Garo Hills,100201,4872,7742
East Jaintia Hills,114224,6099,3711
East Khasi Hills,946066,102245,87266
Eastern West Khasi Hills,100705,6784,1163
North Garo Hills,116166,2630,3101
Ri Bhoi,259026,10919,8924
South Garo Hills,76093,460,2389
South West Garo Hills,123858,3572,7738
South West Khasi Hills,68368,466,406
West Garo Hills,421794,20477,26952
West Jaintia Hills,265152,12397,6248
West Khasi Hills,133665,4422,2872
