District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,44.47,112,410.3,211,6.47,4,5.64,1
East Jaintia Hills,12.76,12,94.29,41,8.73,2,11.4,2
East Khasi Hills,37.45,471,3102.43,1083,152.09,50,173.5,38
North Garo Hills,28.48,75,405.04,213,2.65,3,2.86,1
Ri Bhoi,39.76,148,546.87,311,28.47,15,50.14,15
South Garo Hills,49.02,102,351.15,175,9.72,2,12.28,3
West Garo Hills,28.07,184,1535.47,596,21,13,14.74,6
West Jaintia Hills,32.68,70,398.52,196,41.47,12,72.97,12
West Khasi Hills,48.24,115,317.7,191,2.53,2,4.66,2
