district,Total No. Enrolment,Enrolment under APY,renewals PMSBY under,eligible PMSBY cases under,Enrolment PMSBY under,renewals PMJJBY under,eligible cases PMJJBY under,Enrolment PMJJBY under
East Garo Hills,49558,1641,8682,69296,31972,2610,45275,15945
East Jaintia Hills,44555,1492,16079,95277,28095,7356,77748,14968
East Khasi Hills,232332,13012,74297,694177,137898,38539,523084,81422
Eastern West Khasi Hills,16526,406,6167,78167,8248,5532,61978,7872
North Garo Hills,63240,6060,15416,84311,37243,4996,49812,19937
Ri Bhoi,111704,3183,36570,196006,75313,12690,147321,33208
South Garo Hills,20546,710,4057,46613,13664,1390,30852,6172
South West Garo Hills,99536,1968,17989,97451,62089,6682,57578,35479
South West Khasi Hills,19426,300,4925,52342,10869,3441,39031,8257
West Garo Hills,237406,6580,48343,324697,152381,15344,197962,78445
West Jaintia Hills,64721,2120,25754,173953,43636,7587,134674,18965
West Khasi Hills,28837,684,9639,111993,18288,5242,88661,9865
