District,Total Branch,Sishu,Kishore,Tarun,Tarun Plus,Total MUDRA Disb
Aizawl,129,1367,3288,286,8,4949
Champhai,18,133,234,41,2,410
Hnahthial,5,0,6,4,0,10
Khawzawl,8,14,14,18,0,46
Kolasib,25,745,1517,32,0,2294
Lawngtlai,12,11,28,21,0,60
Lunglei,23,146,243,52,0,441
Mamit,12,10,6,7,0,23
Saiha,8,1,10,8,0,19
Saitual,10,4,21,17,0,42
Serchhip,18,17,41,18,0,76
