district,Total Br(s),In- active CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated SB accounts,RuPaycardissuedin KCC
Aizawl,129,38,40823,5374,144648,2809
Champhai,18,9,8425,729,14637,1483
Hnahthial,5,5,3867,508,4379,6
Khawzawl,8,2,7810,239,5657,38
Kolasib,25,3,11735,1093,21776,81
Lawngtlai,12,28,16801,4238,24652,2257
Lunglei,23,24,19611,2358,26441,1068
Mamit,12,7,14957,171,8332,16
Saiha,8,13,9248,436,12225,2727
Saitual,10,0,7663,235,5109,70
Serchhip,18,2,11672,375,7679,68
