District,Total Br,Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renewable No.,Others No.,Total Other PS O/S No.
Aizawl,129,0,84034.9,219,5620,300,1,2343,8483
Champhai,18,0,6219.91,6,504,47,1,12,570
Hnahthial,5,0,3452.7,4,217,19,0,3,243
Khawzawl,8,0,2691.96,5,232,25,0,0,262
Kolasib,25,0,9578.77,25,751,28,0,848,1652
Lawngtlai,12,0,19971.82,12,1818,31,0,4,1865
Lunglei,23,0,20589.91,22,1736,75,0,47,1880
Mamit,12,0,4857.96,2,439,9,0,1,451
Saiha,8,0,11333.41,6,1152,35,0,21,1214
Saitual,10,0,2232.85,9,179,15,0,2,205
Serchhip,18,0,9865.38,10,819,39,0,9,877
