District,Total Br,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,129,589750,438791,161250
Champhai,18,93308,70116,14080
Hnahthial,5,27351,22006,3948
Khawzawl,8,37699,33290,4250
Kolasib,25,103674,77478,17197
Lawngtlai,12,128834,97011,21732
Lunglei,23,152007,112933,24932
Mamit,12,82792,68446,7569
Saiha,8,75775,53531,11718
Saitual,10,50560,43472,4583
Serchhip,18,76224,62869,6016
