district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,129,47,11.11,473,11.11,44,11.11,8,11.11,1.68
Champhai,18,37,51.47,486,51.47,89,51.47,24,51.47,3.06
Hnahthial,5,25,0,59,0,8,0,0,0,0
Khawzawl,8,28,24.88,196,24.88,14,24.88,14,24.88,6.31
Kolasib,25,30,83.3,335,83.3,26,83.3,43,83.3,9.74
Lawngtlai,12,51,14.3,253,14.3,35,14.3,12,14.3,3.14
Lunglei,23,22,2.64,186,2.64,37,2.64,4,2.64,1.19
Mamit,12,68,20.08,429,20.08,29,20.08,10,20.08,1.89
Saiha,8,16,59.98,330,59.98,27,59.98,39,59.98,7.7
Saitual,10,18,6.54,250,6.54,13,6.54,4,6.54,1.03
Serchhip,18,19,49.05,405,49.05,90,49.05,24,49.05,4.55
