District,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,129,40207,75611,5518,121336
Champhai,18,4605,8249,991,13845
Hnahthial,5,1831,3581,142,5554
Khawzawl,8,2003,3050,66,5119
Kolasib,25,4254,9271,1080,14605
Lawngtlai,12,4369,8679,983,14031
Lunglei,23,7523,18214,1659,27396
Mamit,12,2640,5633,155,8428
Saiha,8,3010,4984,795,8789
Saitual,10,1811,3213,110,5134
Serchhip,18,3356,5744,285,9385
