District,Total Br(s),AGRI,EDN,HOUSING,PERSONAL,OTHER NPS,Total NPS
Aizawl,129,2,0,23,272,1613,1910
Champhai,18,3,0,5,10,60,78
Hnahthial,5,0,0,1,1,6,8
Khawzawl,8,0,0,0,13,11,24
Kolasib,25,0,0,1,25,183,209
Lawngtlai,12,2,0,3,57,103,165
Lunglei,23,71,0,4,30,133,238
Mamit,12,0,0,0,19,21,40
Saiha,8,3,0,3,21,61,88
Saitual,10,0,0,1,5,5,11
Serchhip,18,0,0,2,19,27,48
