district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,129,87,347.51,77,347.51,893,347.51,170,347.51,8.82
Champhai,18,6,24.91,9,24.91,153,24.91,15,24.91,4.53
Hnahthial,5,0,2.53,4,2.53,41,2.53,2,2.53,1.6
Khawzawl,8,0,3.51,3,3.51,77,3.51,2,3.51,0.98
Kolasib,25,0,131.98,2,131.98,176,131.98,41,131.98,15.41
Lawngtlai,12,0,62,2,62,130,62,29,62,23.87
Lunglei,23,13,55.17,35,55.17,439,55.17,25,55.17,4
Mamit,12,0,42.37,1,42.37,140,42.37,25,42.37,10.57
Saiha,8,0,38.74,6,38.74,70,38.74,19,38.74,17.27
Saitual,10,0,18.13,4,18.13,114,18.13,7,18.13,3.4
Serchhip,18,1,62.05,6,62.05,218,62.05,23,62.05,8.85
