district,Total Br(s),MICRO,SMALL,MEDIUM,OTHER MSME,MSME Total O/S
Aizawl,129,14841,255,58,69,15223
Champhai,18,1581,10,9,77,1677
Hnahthial,5,391,2,0,0,393
Khawzawl,8,500,4,17,0,521
Kolasib,25,1783,16,4,27,1830
Lawngtlai,12,1071,14,1,0,1086
Lunglei,23,2717,30,4,45,2796
Mamit,12,860,3,0,0,863
Saiha,8,538,6,1,0,545
Saitual,10,762,1,2,0,765
Serchhip,18,1677,5,3,0,1685
