district,Total Br(s),CROP,TERM LOAN,AGRI INFRA,ANCILLARY,AGRI Total NPA
Aizawl,129,5363,1447,9,27,6846
Champhai,18,151,461,0,4,616
Hnahthial,5,33,32,0,0,65
Khawzawl,8,40,138,0,0,178
Kolasib,25,86,328,0,12,426
Lawngtlai,12,322,696,0,9,1027
Lunglei,23,81,717,0,4,802
Mamit,12,82,324,0,0,406
Saiha,8,172,267,0,14,453
Saitual,10,67,97,0,1,165
Serchhip,18,35,242,0,0,277
