district,Total Br(s),Current Year Female Account,Current Year Male Accountto SC,Current Year Male Accountto ST,Total Current Year SUI Disb
Aizawl,129,35,1,28,64
Champhai,18,1,0,0,1
Hnahthial,5,0,0,0,0
Khawzawl,8,4,0,2,6
Kolasib,25,0,0,0,0
Lawngtlai,12,1,0,1,2
Lunglei,23,0,0,2,2
Mamit,12,0,0,0,0
Saiha,8,0,0,1,1
Saitual,10,0,0,0,0
Serchhip,18,0,0,0,0
