district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,22,1,141,325,6,1,141,325,309,16,325
Champhai,5,8,1,129,0,8,1,129,123,6,129
Hnahthial,4,0,1,15,1,0,1,15,15,0,15
Khawzawl,4,1,1,29,2,1,1,29,29,0,29
Kolasib,7,12,2,163,1,12,2,163,157,5,163
Lawngtlai,5,4,2,189,2,4,2,189,189,0,189
Lunglei,7,15,3,198,1,15,3,198,195,3,198
Mamit,11,0,1,100,4,0,1,100,100,0,100
Saiha,1,5,1,61,0,5,1,61,60,1,61
Saitual,6,1,1,14,1,1,1,14,14,0,14
Serchhip,9,4,3,97,1,4,3,97,97,0,97
