District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Overall CD Ratio
Anjaw,17014.58,0.0,0.0,17014.58,4722.32,0.0,0.0,4722.32,27.75,,27.75
Changlang,100921.12,2957.65,0.0,103878.77,33724.12,1513.97,0.0,35238.09,33.42,51.19,33.92
Dibang Valley,52913.85,1763.15,0.0,54677.0,3719.75,261.47,0.0,3981.22,7.03,14.83,7.28
East Kameng,684.15,61126.02,0.0,61810.17,728.13,24118.83,0.0,24846.96,106.43,39.46,40.2
East Siang,41369.36,159168.69,0.0,200538.05,10936.55,69083.9,0.0,80020.45,26.44,43.4,39.9
Kamle,4757.99,0.0,0.0,4757.99,2735.29,0.0,0.0,2735.29,57.49,,57.49
Kra Daadi,17938.93,0.0,0.0,17938.93,6394.09,0.0,0.0,6394.09,35.64,,35.64
Kurung Kumey,13691.74,3112.22,0.0,16803.96,6459.46,1926.31,0.0,8385.77,47.18,61.9,49.9
Lepa Rada,42582.04,1944.66,0.0,44526.7,13096.89,1351.54,0.0,14448.43,30.76,69.5,32.45
Lohit,15123.76,57667.32,0.0,72791.08,6692.11,22228.55,0.0,28920.66,44.25,38.55,39.73
Longding,26700.06,0.0,0.0,26700.06,13987.99,0.0,0.0,13987.99,52.39,,52.39
Lower Dibang Valley,3228.38,108122.86,0.0,111351.24,840.68,25765.99,0.0,26606.67,26.04,23.83,23.89
Lower Siang,43154.61,0.0,0.0,43154.61,18669.65,0.0,0.0,18669.65,43.26,,43.26
Lower Subansiri,17340.78,98881.06,0.0,116221.84,9532.2,38602.45,0.0,48134.65,54.97,39.04,41.42
Namsai,41684.23,69359.77,0.0,111044.0,13190.88,21987.02,0.0,35177.9,31.64,31.7,31.68
Pakke Kessang,7731.5,0.0,0.0,7731.5,4057.89,0.0,0.0,4057.89,52.49,,52.49
Papum Pare,144307.77,1433954.67,0.0,1578262.44,82230.27,479435.73,0.0,561666.0,56.98,33.43,35.59
Shi Yomi,16253.24,2566.02,0.0,18819.26,1367.87,455.85,0.0,1823.72,8.42,17.76,9.69
Siang,20222.33,0.0,0.0,20222.33,5312.36,0.0,0.0,5312.36,26.27,,26.27
Tawang,45685.17,161482.72,0.0,207167.89,7566.44,20711.76,0.0,28278.2,16.56,12.83,13.65
Tirap,52223.57,1854.83,0.0,54078.4,19899.29,1138.92,0.0,21038.21,38.1,61.4,38.9
Upper Siang,74137.07,3173.49,0.0,77310.56,10103.73,658.82,0.0,10762.55,13.63,20.76,13.92
Upper Subansiri,21148.29,46559.83,0.0,67708.12,7598.24,28630.06,0.0,36228.3,35.93,61.49,53.51
West Kameng,173655.62,485.76,0.0,174141.38,63608.15,5037.74,0.0,68645.89,36.63,1037.08,39.42
West Siang,11870.97,150336.74,0.0,162207.71,2771.11,43903.37,0.0,46674.48,23.34,29.2,28.77
