district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,16,3,21,1,0,0,41
Changlang,1341,60,726,15,0,0,2142
Dibang Valley,26,4,9,0,0,0,39
East Kameng,1174,97,164,7,0,0,1442
East Siang,675,198,77,21,1,3,975
Kamle,64,1,1,0,0,0,66
Kra Daadi,1049,1,8,2,0,0,1060
Kurung Kumey,1430,13,13,0,0,0,1456
Lepa Rada,304,26,59,0,1,0,390
Lohit,261,86,357,7,0,0,711
Longding,3741,13,18,3,0,0,3775
Lower Dibang Valley,750,55,74,4,0,0,883
Lower Siang,508,21,19,2,0,0,550
Lower Subansiri,3006,199,161,17,2,0,3385
Namsai,594,74,2753,4,0,0,3425
Pakke Kessang,174,10,19,3,0,0,206
Papum Pare,13702,1595,1893,67,2,23,17282
Shi Yomi,30,1,125,0,0,0,156
Siang,52,1,18,0,1,0,72
Tawang,77,38,3086,29,1,0,3231
Tirap,1818,18,350,3,0,0,2189
Upper Siang,223,11,115,0,0,0,349
Upper Subansiri,550,47,69,1,1,0,668
West Kameng,574,105,5196,34,0,1,5910
West Siang,292,75,285,8,1,1,662
