district,NPS Target 2024-25,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS),ACP (NPS) Disb %
Anjaw,130,0,0,0,0,0,15,147,162,124.61538461538461
Changlang,3356,0,0,0,0,8,138,1573,1719,51.221692491060786
Dibang Valley,122,0,0,0,0,0,9,124,133,109.01639344262296
East Kameng,2219,0,0,0,0,28,126,835,989,44.56962595763858
East Siang,3015,0,0,0,7,99,640,3118,3864,128.1592039800995
Kamle,120,0,0,0,0,0,7,62,69,57.49999999999999
Kra Daadi,114,0,0,0,0,0,18,166,184,161.4035087719298
Kurung Kumey,34,0,0,0,0,8,12,210,230,676.4705882352941
Lepa Rada,1010,0,0,0,0,34,82,443,559,55.346534653465355
Lohit,260,0,0,0,1,7,295,1263,1566,602.3076923076923
Longding,1932,0,0,0,0,4,29,482,515,26.65631469979296
Lower Dibang Valley,363,2,0,0,0,5,280,1460,1747,481.267217630854
Lower Siang,501,0,0,0,0,100,81,507,688,137.3253493013972
Lower Subansiri,1674.8,0,0,0,0,54,323,1428,1805,107.77406257463578
Namsai,1570,0,0,0,0,19,276,1691,1986,126.4968152866242
Pakke Kessang,985,0,0,0,0,4,12,145,161,16.34517766497462
Papum Pare,10795.547999999999,2,0,0,7,588,3195,13686,17478,161.90007214084918
Shi Yomi,204,0,0,0,0,1,5,42,48,23.52941176470588
Siang,117,0,0,0,0,1,45,147,193,164.95726495726495
Tawang,1679,1,0,0,0,17,233,1301,1552,92.43597379392496
Tirap,1422,0,0,0,0,11,75,738,824,57.94655414908579
Upper Siang,104,0,0,0,0,3,69,431,503,483.6538461538462
Upper Subansiri,1714,0,0,0,0,53,181,1136,1370,79.92998833138857
West Kameng,708,0,0,0,1,68,262,2325,2656,375.1412429378531
West Siang,5300,0,0,0,0,77,244,1583,1904,35.924528301886795
