district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,7,22.33,20,61.77,559,1587.37,1191,3580.21
Changlang,58,412.06,211,937.97,1638,8073.58,4155,16595.58
Dibang Valley,4,26.76,11,74.21,305,1391.23,783,3183.65
East Kameng,13,86.71,29,151.93,782,3868.48,2888,11547.76
East Siang,47,285.24,173,872.99,2815,21738.19,9365,60766.66
Kamle,9,11.96,14,38.84,316,895.63,764,1921.92
Kra Daadi,8,24.73,15,52.31,576,1924.81,1275,4221.17
Kurung Kumey,3,0.94,13,68.79,89,762.95,247,1408.8
Lepa Rada,9,50.93,18,92.16,896,4732.57,2459,11022.7
Lohit,31,189.15,85,402.26,1747,8390.57,4753,18182.52
Longding,6,24.7,27,102.71,307,839.12,523,1882.13
Lower Dibang Valley,80,403.06,176,643.08,887,5764.8,2609,12383.8
Lower Siang,11,53,53,284.79,900,4595,2235,11565.02
Lower Subansiri,24,111.7,104,381.2,1396,10711.94,4779,27537.98
Namsai,59,267.88,175,621.22,1550,7360.32,4245,19827.72
Pakke Kessang,10,47.44,32,121.11,300,1093.24,826,2353.33
Papum Pare,156,1521.01,747,5001.77,7794,108544.99,31101,281673.83
Shi Yomi,0,0,4,11.88,190,621.4,294,1152.72
Siang,2,13.06,6,26.81,520,2144.9,1282,4829.75
Tawang,22,219.54,63,346.15,1158,8032.91,2986,15651.28
Tirap,28,169.84,57,275.89,1631,4813.55,3387,10188.75
Upper Siang,10,142.41,31,203.84,804,3743.29,1863,7316.36
Upper Subansiri,29,224.17,63,395.82,2185,10757.62,5098,28579.86
West Kameng,38,383.5,125,705.99,2211,19596.51,5675,38378.54
West Siang,23,199.3,63,438.89,2277,15750.3,6869,36649.16
