District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Ops Total
Anjaw,0,0,1,0,0,0,1
Changlang,0,21,16,0,0,67,104
Dibang Valley,0,0,1,0,0,3,4
East Kameng,0,2,52,0,0,84,138
East Siang,0,28,36,0,0,24,88
Kamle,0,0,1,0,0,0,1
Kra Daadi,0,1,0,0,0,0,1
Kurung Kumey,0,0,14,0,0,12,26
Lepa Rada,0,1,106,0,0,21,128
Lohit,0,15,16,0,0,18,49
Longding,0,15,0,0,0,0,15
Lower Dibang Valley,0,9,10,0,0,15,34
Lower Siang,0,9,25,0,0,1,35
Lower Subansiri,0,26,56,1,0,77,160
Namsai,0,20,22,0,0,1085,1127
Pakke Kessang,0,0,18,0,0,0,18
Papum Pare,0,221,415,134,0,294,1064
Shi Yomi,0,0,3,0,0,24,27
Siang,0,0,0,0,0,0,0
Tawang,0,3,23,0,0,23,49
Tirap,0,19,6,0,0,8,33
Upper Siang,0,2,3,0,0,95,100
Upper Subansiri,0,10,56,0,0,45,111
West Kameng,0,17,36,0,0,22,75
West Siang,0,6,51,0,1,53,111
