District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,654,3,739,0,2,171,4,0,18,1591
Changlang,1792,75,1726,0,50,545,679,1,172,5040
Dibang Valley,395,1,412,0,0,128,6,0,12,954
East Kameng,797,7,650,0,22,160,86,0,24,1746
East Siang,1584,39,2548,8,103,445,302,82,117,5228
Kamle,583,8,606,0,0,133,43,0,21,1394
Kra Daadi,1165,9,836,0,31,484,782,0,211,3518
Kurung Kumey,630,3,45,0,20,205,690,0,87,1680
Lepa Rada,728,4,942,0,48,248,21,0,19,2010
Lohit,2160,20,2495,0,188,806,257,0,136,6062
Longding,2435,8,247,0,5,624,2422,0,124,5865
Lower Dibang Valley,1010,62,1129,4,40,342,488,1,46,3122
Lower Siang,834,6,1223,0,53,186,106,1,51,2460
Lower Subansiri,1436,25,1683,2,177,447,719,57,107,4653
Namsai,2642,75,1720,0,45,1869,1251,0,163,7765
Pakke Kessang,339,10,546,0,3,211,112,0,33,1254
Papum Pare,6379,155,8546,49,239,1725,3876,211,1001,22181
Shi Yomi,149,0,171,0,0,66,36,0,3,425
Siang,377,0,671,0,29,124,7,0,23,1231
Tawang,1020,7,1373,0,9,114,1378,166,36,4103
Tirap,1887,13,1759,0,10,649,437,0,143,4898
Upper Siang,604,2,816,0,22,202,6,0,23,1675
Upper Subansiri,1329,12,2051,0,141,454,36,1,94,4118
West Kameng,1558,16,2176,9,90,478,2054,202,182,6765
West Siang,1544,16,2355,6,85,508,95,72,86,4767
