District,Target(24-25) No.,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Amt. %
Anjaw,120,4,10,0,0,0
Changlang,420,44,40,1,0,0
Dibang Valley,25,0,0,0,0,0
East Kameng,50,2,3,0,0,0
East Siang,190,75,99,8,1,1.97
Kamle,40,2,3,1,0,0
Kra Daadi,40,115,144,18,4,2.02
Kurung Kumey,115,3,15,2,2,3.73
Lepa Rada,40,24,39,6,3,4.43
Lohit,66,77,70,5,0,0
Longding,180,0,1,0,0,0
Lower Dibang Valley,95,30,37,0,0,0
Lower Siang,105,27,44,2,0,0
Lower Subansiri,73,68,152,9,3,2.75
Namsai,305,202,252,2,1,1.6
Pakke Kessang,105,9,14,0,0,0
Papum Pare,411,151,262,17,54,13.82
Shi Yomi,60,0,0,0,0,0
Siang,215,21,36,4,1,3.79
Tawang,205,7,29,6,1,3.39
Tirap,190,3,5,0,0,0
Upper Siang,155,11,12,0,0,0
Upper Subansiri,205,90,147,15,0,0
West Kameng,340,68,115,14,1,0.39
West Siang,50,52,59,0,0,0
