district,Micro,Small,Medium,Other MSME,MSME Total
Anjaw,58,9,0,0,67
Changlang,574,155,0,0,729
Dibang Valley,25,5,0,0,30
East Kameng,214,10,0,5,229
East Siang,1224,75,0,64,1363
Kamle,101,0,0,0,101
Kra Daadi,358,8,0,0,366
Kurung Kumey,175,8,0,4,187
Lepa Rada,166,7,2,0,175
Lohit,537,25,7,7,576
Longding,296,19,4,0,319
Lower Dibang Valley,535,15,0,3,553
Lower Siang,204,15,0,1,220
Lower Subansiri,775,35,1,9,820
Namsai,560,52,3,3,618
Pakke Kessang,88,3,0,0,91
Papum Pare,6464,719,60,352,7595
Shi Yomi,36,0,0,0,36
Siang,73,3,0,0,76
Tawang,574,30,0,1,605
Tirap,324,22,0,0,346
Upper Siang,94,3,0,3,100
Upper Subansiri,477,26,0,16,519
West Kameng,1361,93,1,3,1458
West Siang,516,27,15,1,559
