District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,609,45,0,4,658
Changlang,1508,890,0,4,2402
Dibang Valley,392,50,0,0,442
East Kameng,718,2424,0,1,3143
East Siang,941,1674,2,18,2635
Kamle,527,52,0,0,579
Kra Daadi,936,301,0,7,1244
Kurung Kumey,544,506,0,8,1058
Lepa Rada,511,855,0,0,1366
Lohit,2035,988,0,109,3132
Longding,2326,88,0,4,2418
Lower Dibang Valley,833,1009,0,1,1843
Lower Siang,618,502,0,1,1121
Lower Subansiri,1314,2398,2,21,3735
Namsai,2108,1784,2,29,3923
Pakke Kessang,570,26,0,2,598
Papum Pare,5626,3434,3,144,9207
Shi Yomi,142,87,0,0,229
Siang,242,366,0,0,608
Tawang,872,221,0,7,1100
Tirap,1882,1417,0,1,3300
Upper Siang,332,553,0,0,885
Upper Subansiri,1291,1418,0,8,2717
West Kameng,1569,1064,0,34,2667
West Siang,1143,819,3,24,1989
