district,Export Credit,Education (PS),Housing (PS),Social Infrastructure,Renewable Energy,Informal Credit,Other Priority Sector Total,Loans to weaker
Anjaw,0,0,0,0,0,0,0,469
Changlang,0,9,1,0,0,66,76,1334
Dibang Valley,0,0,0,0,0,0,0,201
East Kameng,0,1,1,0,0,7,9,644
East Siang,0,10,1,0,0,0,11,1437
Kamle,0,0,0,0,0,0,0,306
Kra Daadi,0,0,0,0,0,0,0,933
Kurung Kumey,0,0,0,0,0,0,0,406
Lepa Rada,0,0,2,0,0,0,2,561
Lohit,0,5,0,0,0,0,5,1307
Longding,0,11,0,0,0,0,11,1970
Lower Dibang Valley,0,5,1,0,0,10,16,769
Lower Siang,0,3,6,0,0,0,9,866
Lower Subansiri,0,14,2,0,0,11,27,1051
Namsai,0,14,4,0,0,507,525,2703
Pakke Kessang,0,0,0,0,0,0,0,284
Papum Pare,0,65,31,0,2,76,174,3529
Shi Yomi,0,0,0,0,0,0,0,170
Siang,0,0,0,0,0,0,0,452
Tawang,0,1,5,0,0,0,6,810
Tirap,0,3,1,0,0,0,4,1455
Upper Siang,0,0,0,0,0,0,0,554
Upper Subansiri,0,1,1,0,0,0,2,1356
West Kameng,0,4,2,0,0,13,19,1455
West Siang,0,0,5,0,1,39,45,1249
