district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,4,2,6,1,0,0,13
Changlang,504,16,358,1,0,0,879
Dibang Valley,55,0,6,0,0,0,61
East Kameng,188,55,29,0,0,0,272
East Siang,259,66,27,4,0,0,356
Kamle,26,0,0,0,0,0,26
Kra Daadi,550,0,3,1,0,0,554
Kurung Kumey,606,2,3,0,0,0,611
Lepa Rada,47,3,8,0,0,0,58
Lohit,61,18,80,1,0,0,160
Longding,2043,9,3,2,0,0,2057
Lower Dibang Valley,354,9,13,0,0,0,376
Lower Siang,237,9,8,0,0,0,254
Lower Subansiri,737,50,31,4,0,0,822
Namsai,252,32,1294,2,0,0,1580
Pakke Kessang,72,3,12,2,0,0,89
Papum Pare,3534,213,336,14,0,3,4100
Shi Yomi,6,0,299,0,0,0,305
Siang,15,0,6,0,1,0,22
Tawang,15,17,1149,0,0,0,1181
Tirap,530,5,22,1,0,0,558
Upper Siang,66,1,14,0,0,0,81
Upper Subansiri,201,18,5,0,1,0,225
West Kameng,209,33,1859,10,2,0,2113
West Siang,143,19,77,2,1,0,242
