District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13050,8063,4422
Changlang,135140,62831,66794
Dibang Valley,8329,5621,5332
East Kameng,78151,53290,39436
East Siang,179384,120332,42190
Kamle,7351,5449,2645
Kra Daadi,13380,9255,3192
Kurung Kumey,30308,23860,21109
Lepa Rada,28476,20696,11356
Lohit,56094,30381,21475
Longding,41417,22234,15741
Lower Dibang Valley,68977,47459,30684
Lower Siang,59325,42635,7745
Lower Subansiri,84065,50713,27281
Namsai,92402,66275,33021
Pakke Kessang,5223,3092,1629
Papum Pare,418039,250086,170911
Shi Yomi,10342,6748,5785
Siang,22231,15626,3762
Tawang,61578,29716,22586
Tirap,59076,37100,29173
Upper Siang,47173,33978,19919
Upper Subansiri,94698,67484,33173
West Kameng,97976,55696,36802
West Siang,95663,59292,26083
