district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,56,1,0,0,57
Changlang,200,341,0,0,541
Dibang Valley,16,20,0,0,36
East Kameng,27,2800,0,1,2828
East Siang,240,705,0,1,946
Kamle,17,6,0,0,23
Kra Daadi,41,26,0,0,67
Kurung Kumey,8,25,0,2,35
Lepa Rada,47,460,0,0,507
Lohit,508,678,0,0,1186
Longding,199,8,0,1,208
Lower Dibang Valley,133,112,0,0,245
Lower Siang,88,8,0,0,96
Lower Subansiri,297,782,0,1,1080
Namsai,294,398,0,13,705
Pakke Kessang,86,0,0,0,86
Papum Pare,3897,1746,0,18,5661
Shi Yomi,0,0,0,0,0
Siang,16,1,0,0,17
Tawang,12,20,0,0,32
Tirap,83,947,0,0,1030
Upper Siang,10,65,0,0,75
Upper Subansiri,254,715,0,0,969
West Kameng,47,756,0,0,803
West Siang,284,183,1,1,469
