District,Micro,Small,Medium,KVIC,Others under MSMEs,Cluster Finance,MSME Total
Anjaw,39,7,0,0,0,0,46
Changlang,348,58,0,0,0,0,406
Dibang Valley,17,1,0,0,0,0,18
East Kameng,140,4,0,1,0,0,148
East Siang,348,15,0,0,0,0,541
Kamle,73,0,0,0,0,0,73
Kra Daadi,135,0,0,0,0,0,136
Kurung Kumey,108,0,0,0,4,0,112
Lepa Rada,142,2,2,1,1,0,150
Lohit,283,7,5,0,0,0,311
Longding,260,8,2,0,0,0,270
Lower Dibang Valley,260,7,0,2,4,0,297
Lower Siang,131,2,0,0,1,0,148
Lower Subansiri,241,2,1,3,2,1,289
Namsai,327,10,0,0,2,0,362
Pakke Kessang,36,0,0,0,0,0,36
Papum Pare,1673,133,18,30,39,0,2307
Shi Yomi,29,0,0,0,1,0,30
Siang,53,0,0,0,0,0,55
Tawang,221,2,0,0,0,0,270
Tirap,284,9,0,0,0,0,293
Upper Siang,80,0,0,0,1,0,83
Upper Subansiri,180,3,0,3,1,0,226
West Kameng,543,21,0,0,3,0,615
West Siang,195,6,13,0,1,0,253
