district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,5,5
Changlang,0,0,0,23,63,86
Dibang Valley,0,0,0,42,24,66
East Kameng,0,0,0,20,147,167
East Siang,0,0,0,50,183,233
Kamle,0,0,0,0,5,5
Kra Daadi,0,0,0,0,6,6
Kurung Kumey,0,0,0,14,7,21
Lepa Rada,0,0,0,33,44,77
Lohit,0,0,0,11,36,47
Longding,0,0,0,4,42,46
Lower Dibang Valley,0,0,0,10,70,80
Lower Siang,0,0,0,3,22,25
Lower Subansiri,0,0,0,62,292,354
Namsai,0,0,0,48,134,182
Pakke Kessang,0,0,0,1,0,1
Papum Pare,1,0,22,545,1467,2035
Shi Yomi,0,0,1,10,8,19
Siang,0,0,0,2,6,8
Tawang,0,0,1,38,40,79
Tirap,0,0,0,3,29,32
Upper Siang,0,0,0,18,32,50
Upper Subansiri,0,0,0,12,110,122
West Kameng,0,0,0,30,126,156
West Siang,0,0,0,26,90,116
