District,3,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1,2112,7500,1509,2509,10639,1876,74,4695
Changlang,2,10348,52847,7726,29684,82719,24537,3666,43698
Dibang Valley,3,746,3102,635,1109,4147,975,70,1925
East Kameng,4,4974,32840,3136,8689,43745,6310,1102,14765
East Siang,5,19599,163514,10482,53012,203446,37992,4673,77284
Kamle,6,882,3375,727,1794,5260,1437,36,2712
Kra Daadi,7,1846,7850,1288,2657,11034,1920,97,4600
Kurung Kumey,8,1546,5202,1038,1929,7835,1335,203,3678
Lepa Rada,9,2292,14434,1750,4000,19623,3078,643,6935
Lohit,10,10489,35003,6380,20488,48383,15155,1362,32339
Longding,11,2844,16912,1452,7340,28857,5027,266,10450
Lower Dibang Valley,12,5690,31743,3894,10947,42513,8572,1522,18159
Lower Siang,13,9092,101839,4031,20207,115530,15264,2873,32172
Lower Subansiri,14,8181,50545,5207,23521,65607,14962,935,32637
Namsai,15,10141,50724,6986,24302,70030,19868,3403,37846
Pakke Kessang,16,368,2497,281,565,3781,456,53,986
Papum Pare,17,46366,261297,27515,89084,323034,58590,9166,144616
Shi Yomi,18,575,3525,334,791,4731,537,88,1454
Siang,19,2168,16449,1087,5433,21808,4058,286,7887
Tawang,20,5904,37315,5151,8948,52259,8291,906,15758
Tirap,21,3127,18975,2147,6516,29198,4683,229,9872
Upper Siang,22,6374,23077,4597,10671,30724,8308,393,17438
Upper Subansiri,23,11171,53389,6644,19106,69695,13599,891,31168
West Kameng,24,10172,57333,8926,19824,76636,16491,2288,32284
West Siang,25,8038,51408,4966,14490,68286,10571,1814,24342
