District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,446,1215.74,206,506.7
Changlang,2264,7226.02,916,3474.52
Dibang Valley,392,1270.65,140,609.07
East Kameng,1593,6131.57,605,2352.26
East Siang,4822,24212.8,1714,10992.96
Kamle,339,707.91,141,369.19
Kra Daadi,825,1719.19,360,675.08
Kurung Kumey,901,2405.9,209,767.35
Lepa Rada,993,3629.65,329,1465.62
Lohit,2709,8123.87,1062,3193.87
Longding,1366,3022.45,783,1466.22
Lower Dibang Valley,2124,7180.24,867,3258.71
Lower Siang,932,3988.25,380,1691.77
Lower Subansiri,3118,13464.43,889,4941.48
Namsai,4381,10376.22,2366,4948.5
Pakke Kessang,418,1045.95,181,562.47
Papum Pare,21968,127297.69,7340,52480.92
Shi Yomi,127,332.11,93,152.49
Siang,396,1436.86,168,688.4
Tawang,1256,6650.92,639,4174
Tirap,1702,4883.49,775,1945
Upper Siang,685,2421.85,288,1090.8
Upper Subansiri,1911,8757.75,821,3450.33
West Kameng,2730,12136.35,1201,5801.55
West Siang,2511,11515.06,899,4671.98
