district,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2,0,0,2,3,0,0,3,11,0,11
Changlang,11,3,0,14,14,3,0,17,53,10,63
Dibang Valley,1,1,0,2,1,0,0,1,2,0,2
East Kameng,2,9,0,11,0,12,0,12,13,25,38
East Siang,7,13,0,20,4,15,0,19,75,39,114
Kamle,1,0,0,1,1,0,0,1,2,0,2
Kra Daadi,2,0,0,2,3,0,0,3,5,1,6
Kurung Kumey,1,3,0,4,2,1,0,3,2,2,4
Lepa Rada,4,2,0,6,1,1,0,2,9,1,10
Lohit,5,7,0,12,2,14,0,16,24,1,25
Longding,3,0,0,3,4,0,0,4,9,1,10
Lower Dibang Valley,2,9,0,11,0,12,0,12,60,13,73
Lower Siang,4,0,0,4,3,0,0,3,24,14,38
Lower Subansiri,5,11,0,16,5,15,0,20,15,6,21
Namsai,4,9,0,13,3,6,0,9,55,31,86
Pakke Kessang,1,0,0,1,2,0,0,2,1,0,1
Papum Pare,21,59,0,80,16,106,0,122,82,567,651
Shi Yomi,2,1,0,3,1,1,0,2,4,1,5
Siang,5,0,0,5,1,0,0,1,8,0,8
Tawang,4,8,0,12,6,13,0,19,15,6,21
Tirap,3,2,0,5,5,1,0,6,19,2,21
Upper Siang,4,3,0,7,3,1,0,4,8,1,9
Upper Subansiri,6,2,0,8,3,7,0,10,22,2,24
West Kameng,18,1,0,19,30,1,0,31,24,2,28
West Siang,3,8,0,11,2,15,0,17,15,12,27
