District,Agri,Msme,Other Priorityrityrityrity Sector,Total Priorityrityrityrity Sector
Anjaw,985,210,345,1540
Changlang,937,338,345,1620
Dibang Valley,402,16,59,477
East Kameng,642,496,245,1383
East Siang,2056,1775,173,4004
Kamle,294,19,16,329
Kra Daadi,1070,84,110,1264
Kurung Kumey,689,45,113,847
Lepa Rada,599,128,30,757
Lohit,2440,950,340,3730
Longding,1358,483,274,2115
Lower Dibang Valley,411,255,52,718
Lower Siang,2319,172,170,2661
Lower Subansiri,1101,627,122,1850
Namsai,1910,1455,520,3885
Pakke Kessang,558,72,34,664
Papum Pare,4191,17592.739999999998,675.5999999999999,22459.339999999997
Shi Yomi,156,30,54,240
Siang,415,35,37,487
Tawang,286,696,107,1089
Tirap,854,188,37,1079
Upper Siang,305,32,13,350
Upper Subansiri,1245,380,154,1779
West Kameng,460,2380,230,3070
West Siang,820,100,158,1078
