district,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,2001750,9,0,0,3,5115
Changlang,19185277,102,471,2580,9420,57444
Dibang Valley,1226299,1,0,1,1654,3461
East Kameng,9098705,73,821,4147,9104,18432
East Siang,26598603,252,2188,67157,100775,64400
Kamle,1642032,10,0,0,3,2888
Kra Daadi,1930710,9,0,10,962,6539
Kurung Kumey,1682779,6,0,0,9409,5326
Lepa Rada,4713680,23,0,1011,3755,13374
Lohit,9760222,69,306,16413,10245,32149
Longding,6868690,8,0,2,164,21312
Lower Dibang Valley,9368206,50,337,31564,33678,29284
Lower Siang,5601251,11,0,36,477,23032
Lower Subansiri,13850365,9,811,16104,44972,34788
Namsai,9867276,274,1204,35773,21048,40380
Pakke Kessang,1493794,3,0,1,294,5581
Papum Pare,84342123,3083988,47248,599435,673980,350229
Shi Yomi,772913,0,0,3,1050,6259
Siang,2738358,1,0,19,242,7796
Tawang,7056443,16,199,16221,35989,48975
Tirap,8789644,17,0,15,1368,43041
Upper Siang,4617301,42,0,144,6427,12226
Upper Subansiri,10605270,110,0,602,17042,24474
West Kameng,18521819,37,821,6549,42600,142268
West Siang,17635259,23,942,15227,85598,43059
